Cell Type,Gradient:0,Gradient:1,Gradient:2,U:0,U:1,U:2,p,,WSS
9,-41.084,-20.526,0,0.072515,0.01599,-3.01E-19,0.9433,,45.92615521
9,-37.485,-17.394,0,0.069418,0.015885,0,0.87038,,41.32404217
9,-33.965,-15.225,0,0.06686,0.015501,2.61E-19,0.80478,,37.22125535
9,-30.897,-13.59,0,0.064585,0.014979,-2.46E-19,0.74534,,33.7537066
9,-28.148,-12.312,0,0.062454,0.014353,2.29E-19,0.69126,,30.72287825
9,-25.494,-11.206,0,0.060362,0.013598,0,0.64198,,27.84813229
9,-22.368,-10.097,0,0.058249,0.012642,0,0.5976,,24.54132908
9,-23.171,-9.2535,0,0.056206,0.011406,-1.84E-19,0.55965,,24.95040086
9,-14.38,-7.3224,0,0.05324,0.0097321,1.67E-19,0.51313,,16.13697437
9,-14.134,-4.0731,0,0.052769,0.0076857,-1.19E-22,0.50577,,14.70918419
9,-29.935,-37.005,0,0.067057,0.012436,0,1.123,,47.59699833
9,-51.513,-26.08,0,0.062779,0.014,-3.22E-19,1.0061,,57.73868347
9,-38.96,-22.251,0,0.059108,0.014158,3.00E-19,0.9289,,44.86634152
9,-36.064,-18.642,0,0.056606,0.013916,-2.75E-19,0.85765,,40.59724449
9,-32.867,-16.3,0,0.054551,0.013522,-2.60E-19,0.79323,,36.68691441
9,-29.997,-14.613,0,0.05271,0.013052,0,0.73464,,33.36704629
9,-27.367,-13.33,0,0.050961,0.012517,0,0.6812,,30.44078825
9,-24.728,-12.236,0,0.049207,0.011879,0,0.63244,,27.58973867
9,-21.572,-11.246,0,0.047384,0.011067,0,0.58872,,24.32742691
9,-22.559,-10.416,0,0.045542,0.0099909,1.83E-19,0.55141,,24.84756602
9,-12.257,-7.9627,0,0.042572,0.008355,-2.82E-21,0.50486,,14.6163826
9,-11.516,-3.9186,0,0.042309,0.0063532,-2.62E-20,0.50352,,12.16444335
9,-18.784,-46.73,0,0.049812,0.010804,0,1.103,,50.36399067
9,-48.462,-30.471,0,0.0468,0.011534,0,0.98703,,57.24550013
9,-36.36,-24.572,0,0.044001,0.011397,0,0.91345,,43.88431137
9,-34.37,-20.483,0,0.0422,0.011101,2.74E-19,0.8441,,40.01062595
9,-31.557,-17.99,0,0.040707,0.010752,0,0.78092,,36.32470714
9,-28.916,-16.25,0,0.039352,0.010377,0,0.72316,,33.16922604
9,-26.418,-14.956,0,0.038041,0.0099664,2.17E-19,0.67032,,30.35774465
9,-23.811,-13.922,0,0.036692,0.0094845,0,0.62204,,27.58234589
9,-20.723,-13.24,0,0.035247,0.0088704,0,0.57887,,24.59146862
9,-21.569,-12.504,0,0.033694,0.0080317,0,0.5417,,24.93134126
9,-9.3088,-8.9472,0,0.030876,0.0065287,-1.63E-19,0.49589,,12.9114734
9,-8.103,-3.1993,0,0.030806,0.0046659,0,0.50166,,8.711723681
9,-3.1789,-58.639,0,0.030511,0.007745,0,1.0758,,58.72510303
9,-44.064,-34.963,0,0.029151,0.0078648,-3.00E-19,0.96532,,56.24986636
9,-33.325,-27.368,0,0.0274,0.0076117,0,0.89613,,43.12265123
9,-32.416,-22.988,0,0.026353,0.0073661,0,0.82883,,39.73971817
9,-29.987,-20.48,0,0.025455,0.0071234,0,0.7669,,36.31322857
9,-27.574,-18.733,0,0.024622,0.0068802,2.28E-19,0.70998,,33.33542808
9,-25.22,-17.465,0,0.023799,0.0066233,-2.16E-19,0.65772,,30.67693963
9,-22.69,-16.572,0,0.02293,0.0063269,0,0.60984,,28.09746045
9,-19.826,-16.289,0,0.02197,0.0059511,0,0.56691,,25.65934132
9,-20.061,-15.524,0,0.020841,0.0054107,0,0.52892,,25.36608557
9,-4.9391,-9.9594,0,0.018478,0.004225,1.56E-19,0.48537,,11.11685015
9,-3.3305,-1.3377,0,0.018549,0.0027237,0,0.50145,,3.58910456
9,0.9982,-32.161,0,0.010049,0.0028832,2.42E-19,1.0452,,32.17648713
